athlete_id,name,gender,classification,primary_event,secondary_event,dob,height_cm,weight_kg,years_on_team,guide_runner_required,injury_status,availability_status,coach,region,development_stage
A0001,Goitseone Dube 001,Male,T12,100m,200m,2003-05-19,184,60,4,True,Healthy,Available,Coach Modise,Gaborone,National
A0002,Neo Rammidi 002,Male,T12,100m,200m,2005-01-27,171,68,1,False,Recovering,Available,Coach Dube,Francistown,Podium Track
A0003,Tebogo Dube 003,Male,T12,100m,200m,2007-04-18,164,65,3,False,Healthy,Available,Coach Pule,Maun,National
A0004,Kagiso Rammidi 004,Male,T12,400m,1500m,1999-01-17,170,49,8,False,Recovering,Restricted,Coach Basinyi,Maun,National
A0005,Neo Moroka 005,Male,T13,100m,800m,1999-09-14,179,70,8,False,Healthy,Available,Coach Molefe,Gaborone,National
A0006,Lebo Ranku 006,Male,T11,200m,1500m,2006-12-27,165,63,2,True,Recovering,Available,Coach Basinyi,Maun,National
A0007,Katlego Mogae 007,Male,T12,200m,100m,2006-11-23,175,62,2,False,Healthy,Monitor,Coach Kgamanyane,Molepolole,Podium Track
A0008,Karabo Mokalake 008,Male,T13,800m,400m,2002-05-10,169,51,6,False,Healthy,Available,Coach Ranku,Gaborone,Emerging
A0009,Thato Mokalake 009,Male,T11,100m,1500m,2003-02-19,175,66,2,True,Healthy,Available,Coach Kgamanyane,Francistown,Elite
A0010,Bakang Bantsi 010,Male,T13,1500m,800m,1995-05-21,173,51,2,False,Healthy,Available,Coach Pule,Gaborone,Podium Track
A0011,Tiro Moroka 011,Male,T11,100m,1500m,2005-09-04,184,66,6,True,Healthy,Available,Coach Dube,Lobatse,National
A0012,Keabetswe Motsepe 012,Male,T12,200m,1500m,1993-07-05,167,83,4,True,Monitoring,Available,Coach Basinyi,Selebi-Phikwe,National
A0013,Tebogo Mosinyi 013,Male,T11,100m,200m,2005-10-06,170,51,1,True,Healthy,Monitor,Coach Modise,Francistown,Podium Track
A0014,Lesego Mogapi 014,Male,T12,200m,100m,2002-06-14,167,44,8,False,Monitoring,Available,Coach Motswana,Gaborone,Elite
A0015,Goitseone Bantsi 015,Male,T12,400m,100m,2000-02-11,179,61,3,False,Recovering,Restricted,Coach Kgamanyane,Molepolole,Emerging
A0016,Mpho Bantsi 016,Male,T12,800m,400m,2003-04-11,165,74,6,False,Healthy,Available,Coach Pule,Serowe,Elite
A0017,Neo Motsepe 017,Male,T13,100m,1500m,1992-08-25,157,69,1,False,Healthy,Available,Coach Pule,Molepolole,National
A0018,Katlego Basinyi 018,Male,T13,400m,800m,2000-03-06,154,59,2,False,Healthy,Available,Coach Ranku,Francistown,Podium Track
